"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_mediata","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S007537    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0155 0155","Dimarts","2023",12,"Desembre","19","15","Tarda","Manca d'atenció a la conducció","432136.49 ","4585039.63","2.186874308","41.412195273"
"2023S006887    ",10,"Sant Martí",72,"Sant Martí de Provençals",107503,"Eduard Torroja","0016 0016","Dilluns","2023",11,"Novembre","20","15","Tarda","Manca d'atenció a la conducció","433155.07 ","4585398.84","2.199020969","41.415515989"
"2023S004387    ",10,"Sant Martí",65,"el Clot",18505,"Aragó","0638X0642X","Dijous","2023",7,"Juliol","20","11","Matí","Manca d'atenció a la conducció","432474.36 ","4584951.33","2.190926467","41.411428456"
"2023S006308    ",10,"Sant Martí",70,"el Besòs i el Maresme",701266,"Litoral (Llobregat)","000560000","Dimecres","2023",10,"Octubre","25","18","Tarda","Manca d'atenció a la conducció","435017.2  ","4584731.2 ","2.221372632","41.409655535"
"2023S000255    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0178 0178","Dissabte","2023",1,"Gener","14","12","Matí","Manca d'atenció a la conducció","433983.96 ","4586430.89","2.208825686","41.42487995"
"2023S001134    ",10,"Sant Martí",65,"el Clot",18505,"Aragó","0637 0637","Dissabte","2023",2,"Febrer","25","13","Matí","Manca d'atenció a la conducció","432349.81 ","4584858.95","2.189446694","41.410585936"
"2023S003923    ",10,"Sant Martí",70,"el Besòs i el Maresme",701559,"Eduard Maristany","0002 0002","Dijous","2023",6,"Juny","29","15","Tarda","Desobeir altres senyals","434943.88 ","4585010.04","2.220465456","41.412161049"
"2023S007720    ",10,"Sant Martí",65,"el Clot",42306,"Bilbao","0201 0203","Dissabte","2023",12,"Desembre","30","18","Tarda","Manca d'atenció a la conducció","432719.9  ","4584775.41","2.193883662","41.409864598"
"2023S005009    ",10,"Sant Martí",73,"la Verneda i la Pau",266405,"Prim","0296 0298","Dimarts","2023",8,"Agost","22","08","Matí","Manca d'atenció a la conducció","433074.13 ","4586774.31","2.197900238","41.427897705"
"2023S000159    ",10,"Sant Martí",70,"el Besòs i el Maresme",186703,"Llull","0406 0410","Dimarts","2023",1,"Gener","10","08","Matí","No respectat pas de vianants","434701.03 ","4585065.69","2.217553955","41.41264257"
"2023S001296    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0123 0125","Dilluns","2023",3,"Març","6","03","Nit","Altres","433502.58 ","4586018.4 ","2.20311067","41.421125044"
"2023S007444    ",10,"Sant Martí",72,"Sant Martí de Provençals",153205,"Guipúscoa","0106 0106","Divendres","2023",12,"Desembre","15","14","Tarda","Desobeir semàfor","433366.06 ","4585856.75","2.201494928","41.41965779"
"2023S006638    ",10,"Sant Martí",73,"la Verneda i la Pau",266405,"Prim","0125 0125","Dimecres","2023",11,"Novembre","8","19","Tarda","No respectat pas de vianants","433942.83 ","4585841.27","2.20839795","41.419566019"
"2023S001270    ",10,"Sant Martí",71,"Provençals del Poblenou",144601,"Diagonal","0186B0186B","Dissabte","2023",3,"Març","4","13","Matí","Manca d'atenció a la conducció","432706.68 ","4584237.28","2.193785375","41.405016704"
"2023S001508    ",10,"Sant Martí",70,"el Besòs i el Maresme",186703,"Llull","0373X0373X","Dijous","2023",3,"Març","16","10","Matí","Desobeir semàfor","434419.1  ","4584784.71","2.214211356","41.410088881"
"2023S002664    ",10,"Sant Martí",71,"Provençals del Poblenou",94300,"Cristóbal de Moura","0137 0137","Divendres","2023",5,"Maig","5","14","Tarda","Gir indegut o sense precaució","433946.2  ","4585071.93","2.208522331","41.412637051"
"2023S004789    ",10,"Sant Martí",71,"Provençals del Poblenou",94300,"Cristóbal de Moura","0137 0137","Dimarts","2023",8,"Agost","8","08","Matí","Avançament defectuós/improcedent","433946.2  ","4585071.93","2.208522331","41.412637051"
"2023S007411    ",10,"Sant Martí",71,"Provençals del Poblenou",42306,"Bilbao","0145 0149","Dijous","2023",12,"Desembre","14","13","Matí","Envair calçada contrària","433090.05 ","4584419.2 ","2.198351418","41.406687227"
"2023S000495    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0159 0159","Dimecres","2023",1,"Gener","25","22","Nit","No determinada","433775.16 ","4586285.44","2.206343032","41.423552727"
"2023S003204    ",10,"Sant Martí",71,"Provençals del Poblenou",94300,"Cristóbal de Moura","0157 0157","Dilluns","2023",5,"Maig","29","15","Tarda","Altres","434039.87 ","4585166.59","2.209632692","41.413497328"
"2023S000977    ",10,"Sant Martí",71,"Provençals del Poblenou",200600,"Marroc","0001 0003","Divendres","2023",2,"Febrer","17","06","Matí","Canvi de carril sense precaució","433045.64 ","4584389.88","2.197823383","41.40641945"
"2023S005609    ",10,"Sant Martí",71,"Provençals del Poblenou",356202,"Veneçuela","0028 0028","Dimecres","2023",9,"Setembre","20","07","Matí","Manca d'atenció a la conducció","433751.02 ","4584696.28","2.206228314","41.409237594"
"2023S001209    ",10,"Sant Martí",70,"el Besòs i el Maresme",41100,"Bernat Metge","0002 0002","Dimecres","2023",3,"Març","1","19","Tarda","Altres","434063.8  ","4585718.2 ","2.209858838","41.418467502"
"2023S004226    ",10,"Sant Martí",68,"el Poblenou",700662,"Salvador Espriu","0097 0097","Dimecres","2023",7,"Juliol","12","09","Matí","No respectar distàncies","433406.97 ","4582829.32","2.202317738","41.392393906"
"2023S005397    ",10,"Sant Martí",70,"el Besòs i el Maresme",266405,"Prim","0081X0081X","Dilluns","2023",9,"Setembre","11","20","Tarda","Manca d'atenció a la conducció","434249.26 ","4585469.05","2.212105017","41.416238677"
"2023S004211    ",10,"Sant Martí",68,"el Poblenou",55501,"Calvell","0035 0035","Dimarts","2023",7,"Juliol","11","14","Tarda","Desconegut","433819.07 ","4583503.53","2.207172923","41.398500396"
"2023S004864    ",10,"Sant Martí",68,"el Poblenou",700654,"Litoral","0045 0049","Dissabte","2023",8,"Agost","12","02","Nit","Manca d'atenció a la conducció","433903.38 ","4583302.86","2.208203325","41.396699947"
"2023S004916    ",10,"Sant Martí",68,"el Poblenou",701265,"Litoral (Besòs)","000740000","Dimarts","2023",8,"Agost","15","13","Matí","No respectar distàncies","433903.38 ","4583302.86","2.208203325","41.396699947"
"2023S001332    ",10,"Sant Martí",68,"el Poblenou",701265,"Litoral (Besòs)","000760000","Dimarts","2023",3,"Març","7","06","Matí","Manca d'atenció a la conducció","433600.12 ","4582986.31","2.204610681","41.393823857"
"2023S005597    ",10,"Sant Martí",68,"el Poblenou",701265,"Litoral (Besòs)","000760000","Divendres","2023",9,"Setembre","22","11","Matí","No respectar distàncies","433590.9  ","4582862.8 ","2.204513955","41.39271067"
"2023S006876    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000740000","Dilluns","2023",11,"Novembre","20","07","Matí","Desobeir altres senyals","433762.35 ","4583188.31","2.206528964","41.39565661"
"2023S000749    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000750000","Dimarts","2023",2,"Febrer","7","08","Matí","No respectar distàncies","433762.35 ","4583188.31","2.206528964","41.39565661"
"2023S003017    ",10,"Sant Martí",68,"el Poblenou",700654,"Litoral","0064 0068","Dilluns","2023",5,"Maig","22","12","Matí","No respectar distàncies","433600.12 ","4582986.31","2.204610681","41.393823857"
